qid,doc_id,seedA,seedB,packedN_A,packedN_B,common_u,same_nn,diff_nn,picked_A,picked_B,avg_abs_l2_gap,delta_total,prematched_flow,prematch_ratio,residual_mass,nz_plus,nz_minus,prematch_cost,baseline_A,residual_A,total_A,improve_A,baseline_B,residual_B,total_B,improve_B,t_parse,t_compare,t_prematch,t_costA_base,t_costA_res,t_costB_base,t_costB_res,t_total
0,18,110,111,113,101,34,0,34,14,20,0.7689870385562673,1.0,0.5135746606334841,0.5135746606334841,0.4864253393665159,19,9,2.8030512392251206,5.918086528778076,3.0288143157958984,5.831865555021019,0.08622097375705717,6.016383647918701,2.989656686782837,5.7927079260079575,0.2236757219107437,0.00012089999927411554,0.0005644029997711186,0.00010400100018159719,0.39276644399978977,0.40596300800007157,0.40362649600047007,0.3980888699998104,1.6012437220006177
0,19,110,111,257,230,34,5,29,19,15,0.7907904737135943,0.9885057471264369,0.12643678160919541,0.12790697674418605,0.8620689655172415,34,75,0.7007020040490161,6.200977325439453,5.430564880371094,6.13126688442011,0.06971044101934343,6.221803665161133,5.4951887130737305,6.195890717122746,0.025912948038386396,0.00011830099992948817,0.0005733030002375017,0.00013790000048174988,0.39586075999977766,0.401534687000094,0.40118608600005246,0.4030787940000664,1.6024986309994347
0,20,110,111,131,120,34,1,33,19,15,1.0094609260559082,1.0,0.3785166240409208,0.3785166240409208,0.6214833759590793,24,17,2.0376404130550294,6.135992527008057,3.897218704223633,5.934859117278663,0.20113340972939397,6.094151973724365,3.921663761138916,5.959304174193946,0.13484779953041937,0.0001609010005267919,0.0007261029995788704,0.00011700100003508851,0.39519245700012107,0.3950640570001269,0.39468346100056806,0.4014064920002056,1.5873607720004657
0,21,110,111,102,91,33,4,29,16,17,0.6498731772104899,0.9705882352941178,0.5032679738562091,0.5185185185185185,0.46732026143790867,19,5,2.883056935142068,5.925450801849365,2.9330904483795166,5.816147383521585,0.10930341832778012,6.1394453048706055,3.0259265899658203,5.908983525107889,0.23046177976271665,0.00011560100028873421,0.0006315029995676014,9.299999965151073e-05,0.3958579669997562,0.40426650600056746,0.4101569340000424,0.3994193840007938,1.6105497950002245
0,22,110,111,244,248,34,2,32,19,15,0.9560306212481331,0.9873417721518989,0.18987341772151906,0.19230769230769235,0.7974683544303801,34,63,1.1163130047955092,6.193878173828125,5.090381622314453,6.206694627109963,-0.01281645328183778,6.343769550323486,5.221042156219482,6.337355161014992,0.0064143893084942505,0.00011740099944290705,0.0005573019998337259,0.00015320100010285387,0.41596986199965613,0.40287609999995766,0.39436676100012846,0.3972874739993131,1.6113369009999587
0,23,110,111,225,218,34,4,30,18,16,0.5858214392381556,0.9855072463768118,0.24637681159420297,0.25000000000000006,0.739130434782609,34,51,1.2418917987657632,6.1201605796813965,4.817532062530518,6.059423861296281,0.060736718385115296,6.218609809875488,4.833128452301025,6.075020251066789,0.14358955880869928,0.00011550099952728488,0.0005777030000899686,0.00012770000012096716,0.39425475999996706,0.39608927000062977,0.40982823399917834,0.39611986900035845,1.597122236999894
0,24,110,111,237,210,34,3,31,22,12,0.6027206953834084,0.9861111111111112,0.1944444444444445,0.19718309859154934,0.7916666666666666,34,57,0.9707017209794787,5.660444736480713,4.7699875831604,5.740689304139879,-0.08024456765916632,5.875288963317871,4.743739128112793,5.714440849092272,0.1608481142255993,0.00011780099976022029,0.0005702019998352625,0.00012810099997295765,0.3938902589998179,0.40765892499985057,0.40821592700012843,0.40294000199992297,1.6135311170000932
0,25,110,111,220,208,34,3,31,15,19,0.9511726533665377,0.9843750000000001,0.27941176470588236,0.2838468720821662,0.7049632352941178,33,46,1.6088133272440994,6.097054958343506,4.4304375648498535,6.039250892093953,0.05780406624955248,6.148085594177246,4.453708171844482,6.062521499088582,0.0855640950886638,0.00013660100012202747,0.0006038030005584005,0.00013290100014273776,0.40862702899994474,0.3947939640002005,0.4090647220000392,0.4067750120002529,1.6201440320000984
0,26,110,111,97,89,34,2,32,8,26,1.1953232007868149,1.0,0.4607843137254902,0.4607843137254902,0.5392156862745099,19,5,2.8114534219106035,6.611446380615234,4.008352279663086,6.8198057015736895,-0.2083593209584551,6.7193169593811035,3.8776280879974365,6.68908150990804,0.030235449473063447,0.00012980100018467056,0.0006429029999708291,9.240100007446017e-05,0.3988712740001574,0.39138723999985814,0.3966201650000585,0.4020955899995897,1.5898493740005506
0,27,110,111,286,258,34,3,31,18,16,0.6130925872746635,0.9696969696969697,0.15151515151515152,0.15625,0.8181818181818181,34,81,0.7550229002731017,5.7011027336120605,4.912452220916748,5.66747512118985,0.033627612422210795,5.830824375152588,4.999451637268066,5.754474537541168,0.07634983761141978,0.000125400999422709,0.0005991030002405751,0.00016060000052675605,0.39158854200013593,0.3962595630000578,0.3992146780001349,0.40276629399977537,1.5907237809997241
0,28,110,111,182,164,34,5,29,21,13,0.8477188944816589,0.9387755102040818,0.20408163265306117,0.217391304347826,0.7346938775510203,33,36,1.1289667683202966,5.922791004180908,4.701208114624023,5.83017488294432,0.09261612123658836,6.133064270019531,4.981515884399414,6.1104826527197105,0.022581617299820778,0.0001246009996975772,0.0006054019995644921,0.00011690100018313387,0.3977080710001246,0.3945715560003009,0.4016670890005116,0.4030528969997249,1.5978562169993893
0,29,110,111,122,110,34,0,34,8,26,0.8040699327693266,1.0,0.30514705882352944,0.30514705882352944,0.6948529411764707,24,13,1.630441734019448,6.349562168121338,4.505274295806885,6.135716029826333,0.21384613829500498,6.392803192138672,4.675903797149658,6.306345531169106,0.08645766096956553,0.0001235999998243642,0.0005937030000495724,9.08009997147019e-05,0.41000392899968574,0.39315425000040705,0.4082044209999367,0.4161433589997614,1.628323662999719
0,30,110,111,189,168,34,6,28,16,18,0.6478414605645573,1.0,0.18,0.18,0.8200000000000001,34,41,1.0659713411331178,6.117913722991943,5.14210319519043,6.208074536323547,-0.09016081333160386,6.143004894256592,5.0839385986328125,6.14990993976593,-0.006905045509338237,0.00011699999959091656,0.0005723029998989659,0.00011630100016191136,0.39049993800017546,0.39485195799989015,0.40664877299968794,0.4043444629996884,1.5971604360001947
0,31,110,111,110,99,33,1,32,14,19,0.9449737360983184,0.9705882352941178,0.5630252100840336,0.58008658008658,0.40756302521008403,16,9,2.9501945621827077,5.704442501068115,2.5867702960968018,5.536964858279509,0.16747764278860622,5.867861747741699,2.707087516784668,5.657282078967375,0.210579668774324,0.00011619999986578478,0.0005547030004890985,9.279999994760146e-05,0.3980869340002755,0.39200310599972,0.3976746329999514,0.3998864429995592,1.5884246190007616
0,32,110,111,109,101,34,3,31,14,20,0.8638348298914292,1.0,0.4509803921568628,0.4509803921568628,0.5490196078431373,22,8,2.230880758341621,5.932202339172363,3.665316343307495,5.896197101649117,0.03600523752324669,6.324924945831299,3.8616693019866943,6.092550060328316,0.23237488550298302,0.00011839999933727086,0.0006111029997555306,0.00010259999999107094,0.3937152150001566,0.39986474299985275,0.40166045099977055,0.395325722999587,1.5914081350001652
0,33,110,111,159,149,34,3,31,19,15,0.976412766120013,1.0,0.3235294117647059,0.3235294117647059,0.6764705882352942,23,23,1.698926554006689,6.108926296234131,4.18298864364624,5.881915197652929,0.22701109858120194,6.295072078704834,4.334682941436768,6.033609495443456,0.2614625832613777,0.00011900099980266532,0.0005858020003870479,9.540100018057274e-05,0.3944579179997163,0.41091929499998514,0.4060018720001608,0.4057304709995151,1.6179192600002352
